,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
162,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2017,Manual,"31,980",1st,Petrol,"5,75,399","12,799/month",Zero downpayment
163,Hyundai Verna,Hyundai,1.4 VTVT E ,2018,Manual,"15,437",1st,Petrol,"7,70,399","17,137/month",Zero downpayment
164,Maruti Celerio,Maruti,VXI ,2014,Manual,"1,67,450",1st,Petrol,"3,59,599","7,999/month",Zero downpayment
165,Volkswagen Vento,Volkswagen,HIGHLINE PETROL ,2010,Manual,"1,11,856",1st,Petrol,"4,21,599","9,378/month",Zero downpayment
166,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"31,208",1st,Petrol,"6,80,199","15,131/month",Zero downpayment
167,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"65,255",1st,Petrol,"6,38,099","14,194/month",Zero downpayment
168,Honda Jazz,Honda,1.2 V MT ,2018,Manual,"13,878",1st,Petrol,"7,21,699","16,054/month",Zero downpayment
169,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2017,Manual,"58,424",1st,Petrol,"7,47,699","16,632/month",Zero downpayment
170,Maruti Ertiga,Maruti,ZXI ,2014,Manual,"26,166",1st,Petrol,"6,69,999","14,904/month",Zero downpayment
171,Datsun Redi Go,Datsun,S ,2016,Manual,"22,437",2nd,Petrol,"2,96,599","6,598/month",Zero downpayment
172,Toyota Corolla Altis,Toyota,1.8 GL ,2008,Manual,"1,03,414",3rd,Petrol,"3,83,899","8,540/month",Zero downpayment
173,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"58,863",2nd,Petrol,"6,57,199","14,619/month",Zero downpayment
174,Maruti Alto,Maruti,LXI ,2008,Manual,"45,812",2nd,Petrol,"2,05,999","4,582/month",Zero downpayment
175,Maruti Ertiga,Maruti,VDI ABS ,2014,Manual,"77,324",1st,Diesel,"6,94,599","15,451/month",Zero downpayment
176,Tata Zest,Tata,XMS RT ,2014,Manual,"41,822",2nd,Petrol,"4,51,099","10,034/month",Zero downpayment
177,Toyota Innova,Toyota,2.5 ZX 7 STR BS IV ,2014,Manual,"61,021",2nd,Diesel,"13,81,199","30,724/month",Zero downpayment
178,Ford FREESTYLE,Ford,TITANIUM + 1.2 TI-VCT ,2018,Manual,"35,175",1st,Petrol,"5,99,699","13,340/month",Zero downpayment
179,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2015,Manual,"93,289",2nd,Diesel,"6,28,299","13,976/month",Zero downpayment
180,Hyundai Verna,Hyundai,FLUIDIC 1.4 VTVT ,2016,Manual,"67,577",2nd,Petrol,"6,52,699","14,519/month",Zero downpayment
181,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT ,2018,Manual,"31,399",1st,Petrol,"6,41,999","14,281/month",Zero downpayment
182,Hyundai Creta,Hyundai,1.6 VTVT SX AUTO ,2018,Automatic,"13,387",1st,Petrol,"13,44,699","29,912/month",Zero downpayment
183,Honda BR-V,Honda,1.5 i-VTEC VX ,2018,Manual,"32,218",1st,Petrol,"9,07,099","20,178/month",Zero downpayment
184,Maruti Ciaz,Maruti,ZXI ,2016,Manual,"42,441",1st,Petrol,"7,32,499","16,294/month",Zero downpayment
185,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"22,523",1st,Petrol,"7,23,899","16,103/month",Zero downpayment
186,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,"1,46,782",2nd,Diesel,"6,72,899","14,968/month",Zero downpayment
187,Mahindra Scorpio,Mahindra,S2 ,2016,Manual,"1,31,500",1st,Diesel,"7,95,899","17,704/month",Zero downpayment
188,Honda City,Honda,VX MT PETROL ,2015,Manual,"40,201",1st,Petrol,"8,38,599","18,654/month",Zero downpayment
189,Renault Kwid,Renault,RXL ,2016,Manual,"21,627",3rd,Petrol,"3,49,399","7,772/month",Zero downpayment
190,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,"63,114",1st,Diesel,"7,88,399","17,538/month",Zero downpayment
191,Maruti Ciaz,Maruti,DELTA 1.5 SHVS VVT MT ,2020,Manual,"21,249",1st,Petrol,"8,94,399","19,895/month",Zero downpayment
192,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"13,486",2nd,Petrol,"6,80,799","15,144/month",Zero downpayment
193,Maruti Ritz,Maruti,VXI ABS ,2010,Manual,"88,811",2nd,Petrol,"3,14,499","6,996/month",Zero downpayment
194,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"68,693",1st,Petrol,"6,74,999","15,015/month",Zero downpayment
195,Toyota Innova Crysta,Toyota,2.7 ZX AT 7 STR ,2018,Automatic,"49,614",1st,Petrol,"20,76,699","46,195/month",Zero downpayment
196,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2017,Manual,"16,818",1st,Petrol,"5,35,899","11,921/month",Zero downpayment
197,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2017,Manual,"20,761",1st,Petrol,"5,35,899","11,921/month",Zero downpayment
198,Maruti S Cross,Maruti,LPHA SHVS ,2017,Manual,"63,626",1st,Diesel,"11,13,599","24,771/month",Zero downpayment
