,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
613,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2019,Manual,"9,489",1st,Petrol,"7,94,999","17,684/month",Zero downpayment
614,Honda Jazz,Honda,1.2 S MT ,2017,Manual,"27,013",1st,Petrol,"5,85,399","13,022/month",Zero downpayment
615,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2017,Manual,"13,666",1st,Petrol,"4,94,099","10,991/month",Zero downpayment
616,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2016,Manual,"40,455",1st,Petrol,"5,48,799","12,208/month",Zero downpayment
617,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2019,Manual,366,1st,Petrol,"7,90,499","17,584/month",Zero downpayment
618,Maruti Vitara Brezza,Maruti,ZDI PLUS ,2018,Manual,"19,139",1st,Diesel,"9,46,899","21,063/month",Zero downpayment
619,Hyundai Grand i10,Hyundai,1.2 KAPPA SPORTZ (O) ,2019,Manual,"25,988",1st,Petrol,"5,88,599","13,093/month",Zero downpayment
620,Maruti Alto K10,Maruti,VXI OPT ,2017,Manual,"55,116",1st,Petrol,"3,72,599","8,288/month",Zero downpayment
621,Hyundai Grand i10,Hyundai,gna 1.2 AT  VTVT ,2016,Automatic,"3,885",1st,Petrol,"5,30,899","11,810/month",Zero downpayment
622,Maruti Swift,Maruti,ZXI ,2013,Manual,"20,749",1st,Petrol,"4,42,099","9,834/month",Zero downpayment
623,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"14,520",1st,Petrol,"4,94,799","11,007/month",Zero downpayment
624,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2017,Manual,"7,259",1st,Petrol,"5,31,899","11,832/month",Zero downpayment
625,Maruti A Star,Maruti,LXI ,2010,Manual,"18,469",1st,Petrol,"2,26,399","5,036/month",Zero downpayment
626,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"18,106",1st,Petrol,"4,97,399","11,064/month",Zero downpayment
627,Hyundai Grand i10,Hyundai,gna 1.2 crdi ,2018,Manual,"8,349",1st,Diesel,"6,59,099","14,661/month",Zero downpayment
628,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2015,Manual,"14,726",1st,Petrol,"4,70,799","10,473/month",Zero downpayment
629,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"32,266",1st,Petrol,"3,76,799","8,382/month",Zero downpayment
630,Maruti Alto K10,Maruti,VXI ,2019,Manual,"14,939",1st,Petrol,"4,11,999","9,165/month",Zero downpayment
