,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
533,Datsun Redi Go,Datsun,T (O) ,2017,Manual,"23,930",2nd,Petrol,"68,099",964/month,Zero downpayment
534,Datsun Redi Go,Datsun,S 1.0 ,2017,Manual,"10,448",1st,Petrol,"93,299",524/month,Zero downpayment
535,Volkswagen Polo,Volkswagen,COMFORTLINE 1.2L PETROL ,2011,Manual,"39,815",1st,Petrol,"32,399",394/month,Zero downpayment
536,Volkswagen Vento,Volkswagen,COMFORTLINE PETROL ,2018,Manual,"23,139",1st,Petrol,"06,999",",727/month",Zero downpayment
537,Ford Ecosport,Ford,1.5 TREND TDCI ,2014,Manual,"1,31,976",1st,Diesel,"89,899",",898/month",Zero downpayment
538,Hyundai Creta,Hyundai,1.6 SX CRDI ,2015,Manual,"81,424",1st,Diesel,"00,699",",036/month",Zero downpayment
539,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2015,Automatic,"98,743",1st,Diesel,"97,599",",967/month",Zero downpayment
540,Hyundai Creta,Hyundai,1.6 E + VTVT ,2016,Manual,"24,915",1st,Petrol,"30,799",",481/month",Zero downpayment
541,Honda City,Honda,SV MT PETROL ,2017,Manual,"23,217",2nd,Petrol,"67,299",",844/month",Zero downpayment
542,Maruti Ertiga,Maruti,VDI SHVS ,2016,Manual,"69,654",1st,Diesel,"23,399",",316/month",Zero downpayment
543,Hyundai Creta,Hyundai,1.6 SX PLUS AUTO PETROL ,2016,Automatic,"54,201",1st,Petrol,",34,999",",023/month",Zero downpayment
544,Hyundai i20 Active,Hyundai,1.2 S ,2017,Manual,"22,017",2nd,Petrol,"91,699",",162/month",Zero downpayment
545,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"49,189",1st,Petrol,"00,099",",349/month",Zero downpayment
546,Mahindra TUV300,Mahindra,T8 ,2017,Manual,"38,289",1st,Diesel,"66,699",",055/month",Zero downpayment
547,Hyundai i10,Hyundai,GNA 1.2 ,2010,Manual,"60,805",2nd,Petrol,"43,199",410/month,Zero downpayment
548,Maruti Ertiga,Maruti,VDI SHVS ,2016,Manual,"31,217",1st,Diesel,"50,699",",699/month",Zero downpayment
549,Maruti Ciaz,Maruti,ZXI ,2015,Manual,"72,544",2nd,Petrol,"65,799",",586/month",Zero downpayment
