,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
15,Hyundai GRAND I10 NIOS,Hyundai,GNA 1.2 MT ,2019,Manual,"2,266",1st,Petrol,"95,399",",244/month",Zero downpayment
16,Maruti Swift,Maruti,ZDI ,2015,Manual,"1,69,080",1st,Diesel,"03,799",",207/month",Zero downpayment
17,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"12,964",1st,Petrol,"53,699",",541/month",Zero downpayment
18,Maruti Swift,Maruti,VXI AMT ,2018,Automatic,"58,155",1st,Petrol,"16,999",",725/month",Zero downpayment
19,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2020,Manual,"7,280",1st,Petrol,"29,299",",672/month",Zero downpayment
20,HYUNDAI NEW I20,HYUNDAI,STA (O) 1.0 TURBO GDI AT ,2020,Automatic,"12,592",1st,Petrol,",22,799",",976/month",Zero downpayment
21,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"12,703",2nd,Petrol,"34,399",",112/month",Zero downpayment
22,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"20,346",1st,Petrol,"64,799",",788/month",Zero downpayment
23,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"49,522",1st,Petrol,"45,699",",363/month",Zero downpayment
24,Toyota Etios Liva,Toyota,VX ,2018,Manual,"29,304",1st,Petrol,"96,599",",271/month",Zero downpayment
25,Honda Brio,Honda,1.2 S (O) MT IVTEC ,2018,Manual,"39,913",1st,Petrol,"49,499",999/month,Zero downpayment
26,Maruti Baleno,Maruti,LPHA DDIS 190 ,2018,Manual,"95,414",1st,Diesel,"92,699",",409/month",Zero downpayment
27,Maruti IGNIS,Maruti,LPHA 1.2 K12 ,2019,Manual,"10,185",1st,Petrol,"44,199",",330/month",Zero downpayment
28,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,"13,469",1st,Petrol,"83,399",",753/month",Zero downpayment
29,Hyundai NEW SANTRO,Hyundai,ERA 1.1 ,2020,Manual,"7,230",1st,Petrol,"79,299",",662/month",Zero downpayment
30,Maruti Alto,Maruti,LXI ,2020,Manual,"7,695",1st,Petrol,"60,499",019/month,Zero downpayment
31,Maruti Alto,Maruti,VXI ,2019,Manual,"20,692",1st,Petrol,"73,999",319/month,Zero downpayment
32,Hyundai NEW SANTRO,Hyundai,ERA 1.1 ,2019,Manual,"55,973",1st,Petrol,"28,299",527/month,Zero downpayment
33,Hyundai Grand i10,Hyundai,GNA 1.2 VTVT ,2017,Manual,"33,810",2nd,Petrol,"48,899",986/month,Zero downpayment
34,Maruti Eeco,Maruti,7 STR ,2019,Manual,"5,542",1st,Petrol,"16,599",267/month,Zero downpayment
35,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2020,Manual,"27,364",1st,Petrol,"94,199",",218/month",Zero downpayment
36,Maruti Swift Dzire,Maruti,VDI ,2013,Manual,"1,70,307",1st,Diesel,"26,599",489/month,Zero downpayment
37,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2014,Manual,"83,514",2nd,Diesel,"39,399",",999/month",Zero downpayment
38,Maruti Swift Dzire,Maruti,VDI ABS ,2016,Manual,"59,743",1st,Diesel,"85,899",",033/month",Zero downpayment
39,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2014,Manual,"62,593",2nd,Petrol,"15,499",018/month,Zero downpayment
